Country Name,Country Code,Series Name,Series Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Italy,ITA,"Population, total",SP.POP.TOTL,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60431283,60340000,60250000,60159000
Jamaica,JAM,"Population, total",SP.POP.TOTL,2674702,2692845,2709437,2725015,2740003,2754407,2768227,2781876,2795837,2810460,2825929,2842132,2858709,2875136,2891021,2906238,2920853,2934855,2948000,2961000,2973000
Japan,JPN,"Population, total",SP.POP.TOTL,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797,126529100,126097000,125661000,125209000
Jordan,JOR,"Population, total",SP.POP.TOTL,5217336,5317506,5434030,5580244,5765635,5991540,6255280,6556478,6893260,7261539,7663131,8090872,8520420,8920049,9266575,9551467,9779173,9956011,10102000,10203000,10269000
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092822,16321872,16557201,16792089,17035550,17288285,17542806,17794055,18037776,18276499,18469000,18654000,18831000
Kenya,KEN,"Population, total",SP.POP.TOTL,32848564,33751739,34678779,35635271,36624895,37649033,38705932,39791981,40901792,42030676,43178257,44343410,45519889,46699981,47878336,49051686,50221473,51393010,52574000,53771000,54986000
Kiribati,KIR,"Population, total",SP.POP.TOTL,85849,87305,88835,90499,92325,94343,96527,98761,100930,102927,104728,106370,107890,109391,110930,112524,114158,115847,118000,119000,121000
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,23132980,23339453,23542426,23732731,23904167,24054864,24188331,24310142,24428341,24548836,24673385,24800612,24929452,25057752,25183833,25307744,25429985,25549819,25666000,25779000,25887000
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51466201,51635256,51782000,51922000,52057000
Kosovo,XKX,"Population, total",SP.POP.TOTL,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1791000,1805200,1824100,1821800,1801800,1816200,1830700,1845300,1857000,1870000,1882000
Kuwait,KWT,"Population, total",SP.POP.TOTL,2103282,2136997,2161626,2200492,2270198,2373672,2504019,2656009,2821045,2991884,3168060,3348853,3526378,3690942,3835591,3956873,4056097,4137309,4207000,4271000,4329000
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6315800,6404000,6489000,6572000
